issn,eissn,journal_name,category,if_2022,rank,collection,jci,citations,percentageOAGold
0036-8075,1095-9203,SCIENCE,MULTIDISCIPLINARY SCIENCES - SCIE(Q1),63.714,Q1,SCIE,10.16,883834,0.79
0306-0012,1460-4744,CHEMICAL SOCIETY REVIEWS,"CHEMISTRY, MULTIDISCIPLINARY - SCIE(Q1)",60.615,Q1,SCIE,3.23,187107,19.43
1474-4422,1474-4465,LANCET NEUROLOGY,CLINICAL NEUROLOGY - SCIE(Q1),59.935,Q1,SCIE,11.64,49221,11.06
1471-0056,1471-0064,NATURE REVIEWS GENETICS,GENETICS & HEREDITY - SCIE(Q1),59.581,Q1,SCIE,6.13,46474,3.95
1529-1006,1539-6053,Psychological Science in the Public Interest,"PSYCHOLOGY, MULTIDISCIPLINARY - SSCI(Q1)",56.2,Q1,SSCI,11.22,2781,20
1470-2045,1474-5488,LANCET ONCOLOGY,ONCOLOGY - SCIE(Q1),54.433,Q1,SCIE,8.48,79244,6.53
0923-7534,1569-8041,ANNALS OF ONCOLOGY,ONCOLOGY - SCIE(Q1),51.769,Q1,SCIE,4.72,68844,52.07
0003-4819,1539-3704,ANNALS OF INTERNAL MEDICINE,"MEDICINE, GENERAL & INTERNAL - SCIE(Q1)",51.598,Q1,SCIE,6.01,83711,0
0732-183X,1527-7755,JOURNAL OF CLINICAL ONCOLOGY,ONCOLOGY - SCIE(Q1),50.717,Q1,SCIE,5.62,195709,23.95
0034-6861,1539-0756,REVIEWS OF MODERN PHYSICS,"PHYSICS, MULTIDISCIPLINARY - SCIE(Q1)",50.485,Q1,SCIE,8.58,60783,19
0893-8512,1098-6618,CLINICAL MICROBIOLOGY REVIEWS,MICROBIOLOGY - SCIE(Q1),50.129,Q1,SCIE,4.68,28780,1.75
1759-5002,1759-5010,Nature Reviews Cardiology,CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE(Q1),49.421,Q1,SCIE,5.63,15496,3.87
0079-6425,1873-2208,PROGRESS IN MATERIALS SCIENCE,"MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE(Q1)",48.165,Q1,SCIE,2.54,25960,13.4
1548-7091,1548-7105,NATURE METHODS,BIOCHEMICAL RESEARCH METHODS - SCIE(Q1),47.99,Q1,SCIE,8.64,108143,7.05
1476-1122,1476-4660,NATURE MATERIALS,"CHEMISTRY, PHYSICAL - SCIE(Q1); PHYSICS, APPLIED - SCIE(Q1); PHYSICS, CONDENSED MATTER - SCIE(Q1); MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE(Q1)",47.656,Q1,SCIE,7.04,119078,1.46
1759-5029,1759-5037,Nature Reviews Endocrinology,ENDOCRINOLOGY & METABOLISM - SCIE(Q1),47.564,Q1,SCIE,5.35,18734,4.23
0031-9333,1522-1210,PHYSIOLOGICAL REVIEWS,PHYSIOLOGY - SCIE(Q1),46.5,Q1,SCIE,4.58,39944,11.86
1001-0602,1748-7838,CELL RESEARCH,CELL BIOLOGY - SCIE(Q1),46.297,Q1,SCIE,3.06,29215,57.08
2542-4351,2542-4351,Joule,"ENERGY & FUELS - SCIE(Q1); CHEMISTRY, PHYSICAL - SCIE(Q1); MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE(Q1)",46.048,Q1,SCIE,5.01,26944,4.69
N/A,2468-1253,Lancet Gastroenterology & Hepatology,GASTROENTEROLOGY & HEPATOLOGY - SCIE(Q1),45.042,Q1,SCIE,4.76,10881,8.37
2213-8587,2213-8595,Lancet Diabetes & Endocrinology,ENDOCRINOLOGY & METABOLISM - SCIE(Q1),44.867,Q1,SCIE,6.6,17810,6.09
1759-4758,1759-4766,Nature Reviews Neurology,CLINICAL NEUROLOGY - SCIE(Q1),44.711,Q1,SCIE,6.67,18852,4.9
2168-6106,2168-6114,JAMA Internal Medicine,"MEDICINE, GENERAL & INTERNAL - SCIE(Q1)",44.409,Q1,SCIE,4.84,31254,13.19
1074-7613,1097-4180,IMMUNITY,IMMUNOLOGY - SCIE(Q1),43.474,Q1,SCIE,5.63,82516,14.63
2367-3613,1433-8351,Living Reviews in Relativity,"PHYSICS, PARTICLES & FIELDS - SCIE(Q1)",42.9,Q1,SCIE,4.12,3732,100
1759-5061,1759-507X,Nature Reviews Nephrology,UROLOGY & NEPHROLOGY - SCIE(Q1),42.439,Q1,SCIE,6.27,13479,5.59
0342-4642,1432-1238,INTENSIVE CARE MEDICINE,CRITICAL CARE MEDICINE - SCIE(Q1),41.787,Q1,SCIE,3.25,35676,22.04
N/A,1476-4598,Molecular Cancer,ONCOLOGY - SCIE(Q1); BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE(Q1),41.444,Q1,SCIE,4.75,32250,99.55
1061-4036,1546-1718,NATURE GENETICS,GENETICS & HEREDITY - SCIE(Q1),41.307,Q1,SCIE,8.81,120884,9.98
2520-1158,2520-1158,Nature Catalysis,"CHEMISTRY, PHYSICAL - SCIE(Q1)",40.706,Q1,SCIE,4.76,15757,1.89
1748-3387,1748-3395,Nature Nanotechnology,"MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE(Q1); NANOSCIENCE & NANOTECHNOLOGY - SCIE(Q1)",40.523,Q1,SCIE,5.45,79609,1.95
0009-7322,1524-4539,CIRCULATION,CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE(Q1); PERIPHERAL VASCULAR DISEASE - SCIE(Q1),39.918,Q1,SCIE,6.47,202844,19.83
1749-4885,1749-4893,Nature Photonics,"OPTICS - SCIE(Q1); PHYSICS, APPLIED - SCIE(Q1)",39.728,Q1,SCIE,8.68,55866,2.61
1754-5692,1754-5706,Energy & Environmental Science,"ENGINEERING, CHEMICAL - SCIE(Q1); CHEMISTRY, MULTIDISCIPLINARY - SCIE(Q1); ENVIRONMENTAL SCIENCES - SCIE(Q1); ENERGY & FUELS - SCIE(Q1)",39.714,Q1,SCIE,5.25,113198,18.96
1195-1982,1708-8305,JOURNAL OF TRAVEL MEDICINE,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE(Q1); MEDICINE, GENERAL & INTERNAL - SCIE(Q1); INFECTIOUS DISEASES - SCIE(Q1)",39.194,Q1,SCIE,1.91,6380,18.87
2214-109X,2214-109X,Lancet Global Health,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE(Q1); PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI(Q1)",38.927,Q1,SCIE/SSCI,8.37,22156,96.69
1471-003X,1471-0048,NATURE REVIEWS NEUROSCIENCE,NEUROSCIENCES - SCIE(Q1),38.755,Q1,SCIE,4.29,54312,2.04
0163-4453,1532-2742,JOURNAL OF INFECTION,INFECTIOUS DISEASES - SCIE(Q1),38.637,Q1,SCIE,3.04,21526,19.95
1535-6108,1878-3686,CANCER CELL,ONCOLOGY - SCIE(Q1); CELL BIOLOGY - SCIE(Q1),38.585,Q1,SCIE,5.12,57294,10.87
2159-8274,2159-8290,Cancer Discovery,ONCOLOGY - SCIE(Q1),38.272,Q1,SCIE,6.71,31182,1.6
2095-9907,2059-3635,Signal Transduction and Targeted Therapy,CELL BIOLOGY - SCIE(Q1); BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE(Q1),38.104,Q1,SCIE,2.92,11026,99.25
N/A,2056-5968,Cell Discovery,CELL BIOLOGY - SCIE(Q1),38.079,Q1,SCIE,2.06,5318,99.38
2352-4642,2352-4642,Lancet Child & Adolescent Health,PEDIATRICS - SCIE(Q1),37.746,Q1,SCIE,7.31,7694,14.49
1077-291X,N/A,Journal of Public Transportation,TRANSPORTATION - SSCI(Q1),37.667,Q1,SSCI,1.72,1056,83.33
0066-4146,1545-4282,Annual Review of Astronomy and Astrophysics,ASTRONOMY & ASTROPHYSICS - SCIE(Q1),37.226,Q1,SCIE,3.41,14535,4.76
N/A,2662-138X,Nature Reviews Earth & Environment,"ENVIRONMENTAL SCIENCES - SCIE(Q1); GEOSCIENCES, MULTIDISCIPLINARY - SCIE(Q1)",37.214,Q1,SCIE,3.66,1942,0
N/A,2589-7500,Lancet Digital Health,"MEDICAL INFORMATICS - SCIE(Q1); MEDICINE, GENERAL & INTERNAL - SCIE(Q1)",36.615,Q1,SCIE,4.99,3373,97.24
1057-5987,1545-8601,MMWR Recommendations and Reports,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE(Q1)",36.286,Q1,SCIE,12.69,4013,90
N/A,2522-5820,Nature Reviews Physics,"PHYSICS, MULTIDISCIPLINARY - SCIE(Q1); PHYSICS, APPLIED - SCIE(Q1)",36.273,Q1,SCIE,2.16,3539,1.44
0195-668X,1522-9645,EUROPEAN HEART JOURNAL,CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE(Q1),35.855,Q1,SCIE,6.77,88229,32.42
0935-4956,1432-0754,ASTRONOMY AND ASTROPHYSICS REVIEW,ASTRONOMY & ASTROPHYSICS - SCIE(Q1),35.786,Q1,SCIE,3.22,2562,47.83
2665-9913,2665-9913,Lancet Rheumatology,RHEUMATOLOGY - SCIE(Q1),35.482,Q1,SCIE,7.74,3634,11.33
0360-1285,1873-216X,PROGRESS IN ENERGY AND COMBUSTION SCIENCE,"THERMODYNAMICS - SCIE(Q1); ENGINEERING, MECHANICAL - SCIE(Q1); ENERGY & FUELS - SCIE(Q1); ENGINEERING, CHEMICAL - SCIE(Q1)",35.339,Q1,SCIE,2.3,17682,17
0149-2195,1545-861X,MMWR-MORBIDITY AND MORTALITY WEEKLY REPORT,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE(Q1)",35.301,Q1,SCIE,8.03,40949,90.39
2095-7467,2054-9369,Military Medical Research,"MEDICINE, GENERAL & INTERNAL - SCIE(Q1)",34.915,Q1,SCIE,1.95,3830,98.51
N/A,2397-3358,Nature Reviews Chemistry,"CHEMISTRY, MULTIDISCIPLINARY - SCIE(Q1)",34.571,Q1,SCIE,2.05,8091,1.43
0016-5085,1528-0012,GASTROENTEROLOGY,GASTROENTEROLOGY & HEPATOLOGY - SCIE(Q1),33.883,Q1,SCIE,4.94,104728,22.39
N/A,1553-877X,IEEE Communications Surveys and Tutorials,"TELECOMMUNICATIONS - SCIE(Q1); COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE(Q1)",33.84,Q1,SCIE,8.27,26129,8.53
0903-1936,1399-3003,EUROPEAN RESPIRATORY JOURNAL,RESPIRATORY SYSTEM - SCIE(Q1),33.795,Q1,SCIE,3.6,64519,24.26
0927-796X,1879-212X,MATERIALS SCIENCE & ENGINEERING R-REPORTS,"MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE(Q1); PHYSICS, APPLIED - SCIE(Q1)",33.667,Q1,SCIE,2.1,9517,11.54
2520-1131,2520-1131,Nature Electronics,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE(Q1)",33.255,Q1,SCIE,7.43,8248,2.23
2374-2437,2374-2445,JAMA Oncology,ONCOLOGY - SCIE(Q1),33.006,Q1,SCIE,5.19,27216,14.93
2520-8489,2520-8136,Electrochemical Energy Reviews,ELECTROCHEMISTRY - SCIE(Q1),32.804,Q1,SCIE,2.04,2407,18.07
0732-0582,1545-3278,Annual Review of Immunology,IMMUNOLOGY - SCIE(Q1),32.481,Q1,SCIE,2.78,22258,2.41
1553-4006,1553-4014,Annual Review of Pathology-Mechanisms of Disease,PATHOLOGY - SCIE(Q1),32.35,Q1,SCIE,5.63,8083,0
1759-4790,1759-4804,Nature Reviews Rheumatology,RHEUMATOLOGY - SCIE(Q1),32.286,Q1,SCIE,4.11,14425,1.39
0935-9648,1521-4095,ADVANCED MATERIALS,"CHEMISTRY, MULTIDISCIPLINARY - SCIE(Q1); MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE(Q1); PHYSICS, APPLIED - SCIE(Q1); CHEMISTRY, PHYSICAL - SCIE(Q1); PHYSICS, CONDENSED MATTER - SCIE(Q1); NANOSCIENCE & NANOTECHNOLOGY - SCIE(Q1)",32.086,Q1,SCIE,4.18,361407,11.97
0017-5749,1468-3288,GUT,GASTROENTEROLOGY & HEPATOLOGY - SCIE(Q1),31.793,Q1,SCIE,5.84,67471,45.15
1550-4131,1932-7420,Cell Metabolism,CELL BIOLOGY - SCIE(Q1); ENDOCRINOLOGY & METABOLISM - SCIE(Q1),31.373,Q1,SCIE,4.97,61067,10.5
1931-3128,1934-6069,Cell Host & Microbe,VIROLOGY - SCIE(Q1); PARASITOLOGY - SCIE(Q1); MICROBIOLOGY - SCIE(Q1),31.316,Q1,SCIE,5.37,35861,13.18
0079-6700,1873-1619,PROGRESS IN POLYMER SCIENCE,POLYMER SCIENCE - SCIE(Q1),31.281,Q1,SCIE,2.31,30957,5.68
1529-2908,1529-2916,NATURE IMMUNOLOGY,IMMUNOLOGY - SCIE(Q1),31.25,Q1,SCIE,4.55,61399,2.42
2058-5276,2058-5276,Nature Microbiology,MICROBIOLOGY - SCIE(Q1),30.964,Q1,SCIE,5.52,22473,8.91
2470-9468,2470-9468,Science Immunology,IMMUNOLOGY - SCIE(Q1),30.63,Q1,SCIE,4.29,9925,1.22
1073-449X,1535-4970,AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE,RESPIRATORY SYSTEM - SCIE(Q1); CRITICAL CARE MEDICINE - SCIE(Q1),30.528,Q1,SCIE,4.11,81909,19.26
0370-1573,1873-6270,PHYSICS REPORTS-REVIEW SECTION OF PHYSICS LETTERS,"PHYSICS, MULTIDISCIPLINARY - SCIE(Q1)",30.51,Q1,SCIE,2.89,34796,22.01
2380-6583,2380-6591,JAMA Cardiology,CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE(Q1),30.154,Q1,SCIE,6.05,15190,7.45
2352-3026,N/A,Lancet Haematology,HEMATOLOGY - SCIE(Q1),30.153,Q1,SCIE,3.9,6730,6.38
0168-8278,1600-0641,JOURNAL OF HEPATOLOGY,GASTROENTEROLOGY & HEPATOLOGY - SCIE(Q1),30.083,Q1,SCIE,4.89,62896,24.78
2168-6149,2168-6157,JAMA Neurology,CLINICAL NEUROLOGY - SCIE(Q1),29.907,Q1,SCIE,7.03,21007,21.04
1614-6832,1614-6840,Advanced Energy Materials,"CHEMISTRY, PHYSICAL - SCIE(Q1); ENERGY & FUELS - SCIE(Q1); MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE(Q1); PHYSICS, CONDENSED MATTER - SCIE(Q1); PHYSICS, APPLIED - SCIE(Q1)",29.698,Q1,SCIE,3.94,116667,12.65
2157-846X,2157-846X,Nature Biomedical Engineering,"ENGINEERING, BIOMEDICAL - SCIE(Q1)",29.234,Q1,SCIE,5.68,10605,1.03
0033-8419,N/A,RADIOLOGY,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE(Q1)",29.146,Q1,SCIE,5.52,76068,6.21
1545-8636,1545-8636,MMWR Surveillance Summaries,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE(Q1)",29.095,Q1,SCIE,15.35,4118,90.63
1097-6256,1546-1726,NATURE NEUROSCIENCE,NEUROSCIENCES - SCIE(Q1),28.771,Q1,SCIE,5.82,82161,2.21
N/A,2542-5196,Lancet Planetary Health,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI(Q1); PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE(Q1); ENVIRONMENTAL SCIENCES - SCIE(Q1)",28.75,Q1,SCIE/SSCI,3.99,4794,97.47
2367-3648,1614-4961,Living Reviews in Solar Physics,ASTRONOMY & ASTROPHYSICS - SCIE(Q1),28.7,Q1,SCIE,2.4,1957,93.33
1758-678X,1758-6798,Nature Climate Change,ENVIRONMENTAL STUDIES - SSCI(Q1); ENVIRONMENTAL SCIENCES - SCIE(Q1); METEOROLOGY & ATMOSPHERIC SCIENCES - SCIE(Q1),28.66,Q1,SCIE/SSCI,5.05,43970,1.43
1543-5008,1545-2123,Annual Review of Plant Biology,PLANT SCIENCES - SCIE(Q1),28.31,Q1,SCIE,2.76,25803,2.22
1465-7392,1476-4679,NATURE CELL BIOLOGY,CELL BIOLOGY - SCIE(Q1),28.213,Q1,SCIE,3.48,55078,3.09
0003-4967,1468-2060,ANNALS OF THE RHEUMATIC DISEASES,RHEUMATOLOGY - SCIE(Q1),27.973,Q1,SCIE,4.33,63959,38.71
0066-4308,1545-2085,Annual Review of Psychology,"PSYCHOLOGY - SCIE(Q1); PSYCHOLOGY, MULTIDISCIPLINARY - SSCI(Q1)",27.782,Q1,SCIE/SSCI,3.59,30374,1.22
2470-9476,2470-9476,Science Robotics,ROBOTICS - SCIE(Q1),27.541,Q1,SCIE,6.16,6762,0.53
0066-4154,1545-4509,Annual Review of Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE(Q1),27.258,Q1,SCIE,2.44,25139,2.13
0735-1097,1558-3597,JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE(Q1),27.203,Q1,SCIE,4.71,134726,15.05
2398-9629,2398-9629,Nature Sustainability,ENVIRONMENTAL STUDIES - SSCI(Q1); ENVIRONMENTAL SCIENCES - SCIE(Q1); GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY - SSCI(Q1),27.157,Q1,SCIE/SSCI,3.88,10711,4.69
2043-8206,2043-8214,Dialogues in Human Geography,GEOGRAPHY - SSCI(Q1),27,Q1,SSCI,3.09,1372,29.03
1369-7021,1873-4103,Materials Today,"MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE(Q1)",26.943,Q1,SCIE,3.49,24067,14.4
2168-6203,2168-6211,JAMA Pediatrics,PEDIATRICS - SCIE(Q1),26.796,Q1,SCIE,5.83,19187,12.97
2168-622X,2168-6238,JAMA Psychiatry,PSYCHIATRY - SCIE(Q1); PSYCHIATRY - SSCI(Q1),25.911,Q1,SCIE/SSCI,4.12,22150,18.37
N/A,2522-5839,Nature Machine Intelligence,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE(Q1); COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE(Q1)",25.898,Q1,SCIE,3.92,4060,3.77
2451-9294,2451-9294,Chem,"CHEMISTRY, MULTIDISCIPLINARY - SCIE(Q1)",25.832,Q1,SCIE,3.03,19815,4.82
0166-0616,1872-9797,STUDIES IN MYCOLOGY,MYCOLOGY - SCIE(Q1),25.731,Q1,SCIE,5.73,4947,100
0033-3190,1423-0348,PSYCHOTHERAPY AND PSYCHOSOMATICS,PSYCHIATRY - SCIE(Q1); PSYCHOLOGY - SCIE(Q1); PSYCHIATRY - SSCI(Q1),25.617,Q1,SCIE/SSCI,3.77,6813,26.19
0006-4971,1528-0020,BLOOD,HEMATOLOGY - SCIE(Q1),25.476,Q1,SCIE,3.18,205606,1.88
0066-4189,1545-4479,Annual Review of Fluid Mechanics,"MECHANICS - SCIE(Q1); PHYSICS, FLUIDS & PLASMAS - SCIE(Q1)",25.293,Q1,SCIE,2.24,17011,1.67
1934-5909,1875-9777,Cell Stem Cell,CELL BIOLOGY - SCIE(Q1); CELL & TISSUE ENGINEERING - SCIE(Q1),25.269,Q1,SCIE,4.16,35867,18.53
0163-769X,1945-7189,ENDOCRINE REVIEWS,ENDOCRINOLOGY & METABOLISM - SCIE(Q1),25.261,Q1,SCIE,2.96,18600,36.36
8755-1209,1944-9208,REVIEWS OF GEOPHYSICS,GEOCHEMISTRY & GEOPHYSICS - SCIE(Q1),24.946,Q1,SCIE,2.58,17297,50.67
1560-2745,1878-9129,FUNGAL DIVERSITY,MYCOLOGY - SCIE(Q1),24.902,Q1,SCIE,6.7,6212,30.88
1674-2818,2049-3169,International Journal of Oral Science,"DENTISTRY, ORAL SURGERY & MEDICINE - SCIE(Q1)",24.897,Q1,SCIE,8.12,3367,100
0010-8545,1873-3840,COORDINATION CHEMISTRY REVIEWS,"CHEMISTRY, INORGANIC & NUCLEAR - SCIE(Q1)",24.833,Q1,SCIE,1.94,50602,3.78
N/A,2567-3165,InfoMat,"MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE(Q1)",24.798,Q1,SCIE,2.37,3447,95.1
1943-8206,N/A,Advances in Optics and Photonics,OPTICS - SCIE(Q1),24.75,Q1,SCIE,3.3,3791,15
1364-6613,1879-307X,TRENDS IN COGNITIVE SCIENCES,"NEUROSCIENCES - SCIE(Q1); PSYCHOLOGY, EXPERIMENTAL - SSCI(Q1); BEHAVIORAL SCIENCES - SCIE(Q1)",24.482,Q1,SCIE/SSCI,2.23,36688,20.28
0001-4842,1520-4898,ACCOUNTS OF CHEMICAL RESEARCH,"CHEMISTRY, MULTIDISCIPLINARY - SCIE(Q1)",24.466,Q1,SCIE,1.38,87364,9.97
0926-3373,1873-3883,APPLIED CATALYSIS B-ENVIRONMENTAL,"CHEMISTRY, PHYSICAL - SCIE(Q1); ENGINEERING, CHEMICAL - SCIE(Q1); ENGINEERING, ENVIRONMENTAL - SCIE(Q1)",24.319,Q1,SCIE,3.13,156968,2.64
0162-8828,1939-3539,IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE(Q1); COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE(Q1)",24.314,Q1,SCIE,4.45,73149,4.14
1755-4330,1755-4349,Nature Chemistry,"CHEMISTRY, MULTIDISCIPLINARY - SCIE(Q1)",24.274,Q1,SCIE,4.05,43897,1.67
0302-2838,1873-7560,EUROPEAN UROLOGY,UROLOGY & NEPHROLOGY - SCIE(Q1),24.267,Q1,SCIE,6.16,42327,15.65
2397-3374,2397-3374,Nature Human Behaviour,"MULTIDISCIPLINARY SCIENCES - SCIE(Q1); PSYCHOLOGY, EXPERIMENTAL - SSCI(Q1); NEUROSCIENCES - SCIE(Q1)",24.252,Q1,SCIE/SSCI,4.75,11204,4.34
2380-8195,2380-8195,ACS Energy Letters,"ELECTROCHEMISTRY - SCIE(Q1); MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE(Q1); NANOSCIENCE & NANOTECHNOLOGY - SCIE(Q1); CHEMISTRY, PHYSICAL - SCIE(Q1); ENERGY & FUELS - SCIE(Q1)",23.991,Q1,SCIE,3.27,42884,11.69
1947-5454,1947-5462,Annual Review of Condensed Matter Physics,"PHYSICS, CONDENSED MATTER - SCIE(Q1)",23.978,Q1,SCIE,1.08,4665,0
0001-8732,1460-6976,ADVANCES IN PHYSICS,"PHYSICS, CONDENSED MATTER - SCIE(Q1)",23.75,Q1,SCIE,1.05,6536,0
2311-6706,2150-5551,Nano-Micro Letters,"MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE(Q1); NANOSCIENCE & NANOTECHNOLOGY - SCIE(Q1); PHYSICS, APPLIED - SCIE(Q1)",23.655,Q1,SCIE,2.72,12169,99.79
