"ISSN","Journal","Abbr_Name","Is_SCI","IF2018","IF_5year","Self_citing","H_Index","CiteScore","Division","Category","Discipline","IsTop","IsReview","Publication_Cycle","Article_NO._per_year","Publication_year","Region","OA","Employment","Refereeing","View","Url"
"0730-0301","ACM TRANSACTIONS ON GRAPHICS","ACM T GRAPHIC","SCI/SCIE",4.384,5.687,31.6,168,6.42,"2区","工程技术","计算机：软件工程","是","否","Quarterly","247",1982,"UNITED STATES","No","很难","约12.0个月",32261,"https://www.letpub.com.cn/index.php?journalid=32&page=journalapp&view=detail"
"1094-9224","ACM Transactions on Information and System Security","ACM T INFORM SYST SE","SCIE",2.591,1.766,0,73,4.5,"未录","","",NA,NA,"Quarterly","0",0,"UNITED STATES","No","容易","约6.0个月",18151,"https://www.letpub.com.cn/index.php?journalid=33&page=journalapp&view=detail"
"1046-8188","ACM TRANSACTIONS ON INFORMATION SYSTEMS","ACM T INFORM SYST","SCI/SCIE",1.767,2.203,12.3,72,3.37,"3区","工程技术","计算机：信息系统","否","否","Quarterly","50",0,"UNITED STATES","No","容易",">12周，或约稿",14318,"https://www.letpub.com.cn/index.php?journalid=34&page=journalapp&view=detail"
"1533-5399","ACM Transactions on Internet Technology","ACM T INTERNET TECHN","SCIE",1.727,1.706,25,47,2.82,"4区","工程技术","计算机：信息系统","否","否","Quarterly","47",0,"UNITED STATES","No","容易",">12周，或约稿",9313,"https://www.letpub.com.cn/index.php?journalid=35&page=journalapp&view=detail"
"0098-3500","ACM TRANSACTIONS ON MATHEMATICAL SOFTWARE","ACM T MATH SOFTWARE","SCI/SCIE",2.905,3.183,3.2,71,3.94,"3区","工程技术","计算机：软件工程","是","否","Quarterly","45",1975,"UNITED STATES","No","较易",">12周，或约稿",10570,"https://www.letpub.com.cn/index.php?journalid=36&page=journalapp&view=detail"
"1049-3301","ACM Transactions on Modeling and Computer Simulation","ACM T MODEL COMPUT S","SCIE",0.931,1.058,13,42,1.41,"4区","工程技术","计算机：跨学科应用","否","否","Quarterly","22",0,"UNITED STATES","No","容易",">12周，或约稿",10228,"https://www.letpub.com.cn/index.php?journalid=37&page=journalapp&view=detail"
"1551-6857","ACM Transactions on Multimedia Computing Communications and Applications","ACM T MULTIM COMPUT","SCIE",2.019,1.803,9.6,NA,2.68,"3区","工程技术","计算机：信息系统","否","否","Quarterly","60",0,"UNITED STATES","No","容易",">12周，或约稿",25841,"https://www.letpub.com.cn/index.php?journalid=38&page=journalapp&view=detail"
"0164-0925","ACM TRANSACTIONS ON PROGRAMMING LANGUAGES AND SYSTEMS","ACM T PROGR LANG SYS","SCI/SCIE",0.759,1.306,0,63,2.62,"3区","工程技术","计算机：软件工程","否","否","Bimonthly","17",1979,"UNITED STATES","No","容易",">12周，或约稿",6573,"https://www.letpub.com.cn/index.php?journalid=39&page=journalapp&view=detail"
"1550-4859","ACM Transactions on Sensor Networks","ACM T SENSOR NETWORK","SCIE",2.313,2.524,4.3,54,3.12,"3区","工程技术","计算机：信息系统","否","否","Quarterly","34",0,"UNITED STATES","No","容易","约6.0个月",18120,"https://www.letpub.com.cn/index.php?journalid=40&page=journalapp&view=detail"
"1049-331X","ACM TRANSACTIONS ON SOFTWARE ENGINEERING AND METHODOLOGY","ACM T SOFTW ENG METH","SCI/SCIE",1.946,2.526,2.8,68,3.5,"3区","工程技术","计算机：软件工程","否","否","Quarterly","12",0,"UNITED STATES","No","较易",">12周，或约稿",9532,"https://www.letpub.com.cn/index.php?journalid=41&page=journalapp&view=detail"
"1559-1131","ACM Transactions on the Web","ACM T WEB","SCIE",1.163,1.826,10,38,2.65,"4区","工程技术","计算机：信息系统","否","否","Quarterly","26",0,"UNITED STATES","No","容易","约12.0个月",13575,"https://www.letpub.com.cn/index.php?journalid=42&page=journalapp&view=detail"
"1063-7710","ACOUSTICAL PHYSICS","ACOUST PHYS+","SCI/SCIE",0.782,0.667,47.8,23,0.85,"4区","物理","声学","否","否","Bimonthly","86",1993,"RUSSIA","No","容易","约1.0个月",13152,"https://www.letpub.com.cn/index.php?journalid=43&page=journalapp&view=detail"
"0814-6039","Acoustics Australia","ACOUST AUST","无",0,0,NA,15,0.98,"未录","","","否","否","Tri-annual","24",1985,"AUSTRALIA","No","容易",">12周，或约稿",10096,"https://www.letpub.com.cn/index.php?journalid=44&page=journalapp&view=detail"
"1944-8244","ACS Applied Materials & Interfaces","ACS APPL MATER INTER","SCI/SCIE",8.097,8.284,10.4,143,8.15,"1区","工程技术","材料科学：综合","是","否","Monthly","5318",2009,"UNITED STATES","No","78%","约1.9个月",883775,"https://www.letpub.com.cn/index.php?journalid=45&page=journalapp&view=detail"
"1554-8929","ACS Chemical Biology","ACS CHEM BIOL","SCIE",4.592,4.794,3.1,83,4.59,"2区","生物","生化与分子生物学","否","否","Monthly","352",2006,"UNITED STATES","No","较易","约3.3个月",74292,"https://www.letpub.com.cn/index.php?journalid=46&page=journalapp&view=detail"
"1948-7193","ACS Chemical Neuroscience","ACS CHEM NEUROSCI","SCIE",4.211,4.621,9,46,3.89,"2区","医学","生化与分子生物学","是","否","Monthly","265",2010,"UNITED STATES","No","","偏慢,4-8周",29669,"https://www.letpub.com.cn/index.php?journalid=47&page=journalapp&view=detail"
"1936-0851","ACS Nano","ACS NANO","SCI/SCIE",13.709,14.82,4.9,277,14.29,"1区","工程技术","化学综合","是","否","Monthly","1325",2007,"UNITED STATES","No","88%","约1.7个月",361432,"https://www.letpub.com.cn/index.php?journalid=48&page=journalapp&view=detail"
"1091-5397","ACSMS HEALTH & FITNESS JOURNAL","ACSMS HEALTH FIT J","SCIE",0.7,0.727,25.7,NA,0.27,"4区","医学","运动科学","否","否","Bimonthly","38",1997,"UNITED STATES","No","容易",">12周，或约稿",6751,"https://www.letpub.com.cn/index.php?journalid=49&page=journalapp&view=detail"
"1610-1928","ACTA ACUSTICA UNITED WITH ACUSTICA","ACTA ACUST UNITED AC","SCI/SCIE",1.129,1.048,15.9,48,1.28,"4区","物理","声学","否","否","Bimonthly","110",0,"GERMANY","No","容易","较慢,6-12周",16266,"https://www.letpub.com.cn/index.php?journalid=50&page=journalapp&view=detail"
"0001-5113","ACTA ADRIATICA","ACTA ADRIAT","SCIE",0.725,0.825,13.5,17,0.77,"4区","生物","海洋与淡水生物学","否","否","Semiannual","30",0,"CROATIA","Yes","容易",">12周，或约稿",10449,"https://www.letpub.com.cn/index.php?journalid=51&page=journalapp&view=detail"
"0906-4702","ACTA AGRICULTURAE SCANDINAVICA SECTION A-ANIMAL SCIENCE","ACTA AGR SCAND A-AN","SCI/SCIE",0.42,0.638,0,NA,0.51,"4区","农林科学","奶制品与动物科学","否","是","Quarterly","0",1992,"ENGLAND","No","容易",">36周，或约稿",7332,"https://www.letpub.com.cn/index.php?journalid=52&page=journalapp&view=detail"
"0906-4710","ACTA AGRICULTURAE SCANDINAVICA SECTION B-SOIL AND PLANT SCIENCE","ACTA AGR SCAND B-S P","SCI/SCIE",0.894,0.913,8.7,NA,0.95,"4区","农林科学","农艺学","否","否","Bimonthly","85",0,"NORWAY","No","66%","约2.2个月",35573,"https://www.letpub.com.cn/index.php?journalid=53&page=journalapp&view=detail"
"0139-3006","ACTA ALIMENTARIA","ACTA ALIMENT HUNG","SCIE",0.384,0.383,7.6,23,0.33,"4区","农林科学","食品科技","否","否","Quarterly","60",1976,"HUNGARY","No","容易","较慢,18-36周",6817,"https://www.letpub.com.cn/index.php?journalid=54&page=journalapp&view=detail"
"0001-5172","ACTA ANAESTHESIOLOGICA SCANDINAVICA","ACTA ANAESTH SCAND","SCI/SCIE",2.27,2.539,5.3,96,2.25,"3区","医学","麻醉学","否","否","Monthly","127",1957,"DENMARK","No","容易","一般,3-8周",9696,"https://www.letpub.com.cn/index.php?journalid=55&page=journalapp&view=detail"
"0167-8019","ACTA APPLICANDAE MATHEMATICAE","ACTA APPL MATH","SCI/SCIE",0.91,0.912,6.4,37,0.9,"3区","数学","应用数学","否","否","Monthly","53",1983,"NETHERLANDS","No","容易","约24.0个月",13399,"https://www.letpub.com.cn/index.php?journalid=56&page=journalapp&view=detail"
"0065-1036","ACTA ARITHMETICA","ACTA ARITH","SCI/SCIE",0.476,0.541,5.5,34,0.55,"4区","数学","数学","否","否","Semimonthly","102",0,"POLAND","No","容易","偏慢,4-8周",10075,"https://www.letpub.com.cn/index.php?journalid=57&page=journalapp&view=detail"
"0094-5765","ACTA ASTRONAUTICA","ACTA ASTRONAUT","SCIE",2.227,1.998,34.1,61,2.26,"3区","工程技术","工程：宇航","否","否","Semimonthly","466",1974,"UNITED STATES","No","50%","约9.0个月",54433,"https://www.letpub.com.cn/index.php?journalid=58&page=journalapp&view=detail"
"0001-5237","ACTA ASTRONOMICA","ACTA ASTRONOM","SCI/SCIE",3.667,2.886,18.2,54,2.96,"3区","地学天文","天文与天体物理","否","否","Quarterly","24",1956,"POLAND","No","较易",">12周，或约稿",8304,"https://www.letpub.com.cn/index.php?journalid=59&page=journalapp&view=detail"
"1672-9145","ACTA BIOCHIMICA ET BIOPHYSICA SINICA","ACTA BIOCH BIOPH SIN","SCIE",2.224,2.293,3.1,47,2.12,"3区","生物","生化与分子生物学","否","否","Semiannual","124",2004,"PEOPLES R CHINA","No","约95%","平均3.3月",18355,"https://www.letpub.com.cn/index.php?journalid=60&page=journalapp&view=detail"
"0001-527X","ACTA BIOCHIMICA POLONICA","ACTA BIOCHIM POL","SCIE",1.239,1.541,6.1,69,1.42,"4区","生物","生化与分子生物学","否","否","Quarterly","103",0,"POLAND","Yes","容易","偏慢,4-8周",10878,"https://www.letpub.com.cn/index.php?journalid=61&page=journalapp&view=detail"
"0717-5906","Acta bioethica","ACTA BIOETH","无",0,0,NA,NA,0.14,"未录","","","否","否","Semiannual","0",2000,"Chile","No","容易","",5735,"https://www.letpub.com.cn/index.php?journalid=62&page=journalapp&view=detail"
"0001-5296","ACTA BIOLOGICA CRACOVIENSIA SERIES BOTANICA","ACTA BIOL CRACOV BOT","SCIE",0.8,0.928,11.1,23,0.89,"4区","生物","植物科学","否","否","Annual","17",1958,"POLAND","No","容易",">12周，或约稿",7299,"https://www.letpub.com.cn/index.php?journalid=63&page=journalapp&view=detail"
"0236-5383","ACTA BIOLOGICA HUNGARICA","ACTA BIOL HUNG","SCI/SCIE",0.439,0.581,2.7,25,0.51,"4区","生物","生物学","否","否","Quarterly","43",1983,"HUNGARY","No","容易","较慢,6-12周",7809,"https://www.letpub.com.cn/index.php?journalid=64&page=journalapp&view=detail"
"1742-7061","Acta Biomaterialia","ACTA BIOMATER","SCI/SCIE",6.383,7.16,6.9,139,6.97,"1区","工程技术","工程：生物医学","是","否","Bimonthly","646",2005,"ENGLAND","No","较难","约2.8个月",111626,"https://www.letpub.com.cn/index.php?journalid=65&page=journalapp&view=detail"
"0325-2957","ACTA BIOQUIMICA CLINICA LATINOAMERICANA","ACTA BIOQUIM CLIN L","SCIE",0.113,0.118,17.7,10,NA,"4区","医学","医学实验技术","否","否","Quarterly","10",1975,"ARGENTINA","Yes","容易",">12周，或约稿",5678,"https://www.letpub.com.cn/index.php?journalid=66&page=journalapp&view=detail"
"0001-5342","ACTA BIOTHEORETICA","ACTA BIOTHEOR","SCI/SCIE",0.857,0.907,11.9,30,0.8,"4区","生物","数学与计算生物学","否","否","Quarterly","14",1935,"NETHERLANDS","No","容易","约3.0个月",7096,"https://www.letpub.com.cn/index.php?journalid=67&page=journalapp&view=detail"
"0102-3306","Acta Botanica Brasilica","ACTA BOT BRAS","SCIE",0.817,0.878,15.5,41,0.88,"4区","生物","植物科学","否","否","Quarterly","71",1985,"BRAZIL","Yes","容易","较慢,6-12周",5995,"https://www.letpub.com.cn/index.php?journalid=68&page=journalapp&view=detail"
"0365-0588","ACTA BOTANICA CROATICA","ACTA BOT CROAT","SCIE",0.588,0.828,2.4,18,0.84,"4区","生物","植物科学","否","否","Semiannual","29",1957,"CROATIA","Yes","容易",">12周，或约稿",5698,"https://www.letpub.com.cn/index.php?journalid=69&page=journalapp&view=detail"
"0195-6663","APPETITE","APPETITE","SCI/SCIE",3.174,3.691,16.7,110,3.44,"3区","医学","行为科学","否","否","Bimonthly","398",1980,"NETHERLANDS","No","容易","较快,2-4周",8303,"https://www.letpub.com.cn/index.php?journalid=70&page=journalapp&view=detail"
"0187-7151","Acta Botanica Mexicana","ACTA BOT MEX","SCIE",0.377,0.713,5,NA,0.47,"4区","生物","植物科学","否","否","Quarterly","29",0,"MEXICO","Yes","容易",">12周，或约稿",5349,"https://www.letpub.com.cn/index.php?journalid=71&page=journalapp&view=detail"
"0001-5385","ACTA CARDIOLOGICA","ACTA CARDIOL","SCIE",0.876,0.813,2.2,37,0.66,"4区","医学","心脏和心血管系统","否","否","Bimonthly","64",1946,"BELGIUM","No","约75%","平均2月",8066,"https://www.letpub.com.cn/index.php?journalid=72&page=journalapp&view=detail"
"1011-6842","Acta Cardiologica Sinica","ACTA CARDIOL SIN","SCIE",0.927,0.787,30.7,11,0.88,"4区","医学","心脏和心血管系统","否","否","Quarterly","77",1985,"TAIWAN","No","容易",">12周，或约稿",8997,"https://www.letpub.com.cn/index.php?journalid=73&page=journalapp&view=detail"
"0583-6050","ACTA CARSOLOGICA","ACTA CARSOLOGICA","SCIE",0.959,0.896,12.7,17,0.8,"4区","地学","地球科学综合","否","否","Tri-annual","24",0,"SLOVENIA","No","容易",">12周，或约稿",12281,"https://www.letpub.com.cn/index.php?journalid=74&page=journalapp&view=detail"
"0567-7351","ACTA CHIMICA SINICA","ACTA CHIM SINICA","SCI/SCIE",2.735,1.318,19.2,34,2.17,"3区","化学","化学综合","否","否","Semimonthly","133",1953,"PEOPLES R CHINA","No","约50%","约2.2个月",42012,"https://www.letpub.com.cn/index.php?journalid=75&page=journalapp&view=detail"
"1318-0207","ACTA CHIMICA SLOVENICA","ACTA CHIM SLOV","SCIE",1.104,0.99,33.7,39,1.01,"4区","化学","化学综合","否","否","Quarterly","117",1993,"SLOVENIA","Yes","容易","约1.0个月",9291,"https://www.letpub.com.cn/index.php?journalid=76&page=journalapp&view=detail"
"1508-1109","ACTA CHIROPTEROLOGICA","ACTA CHIROPTEROL","SCIE",1.097,1.227,16.4,31,1.28,"4区","生物","动物学","否","否","Semiannual","36",1999,"POLAND","No","容易",">12周，或约稿",4759,"https://www.letpub.com.cn/index.php?journalid=77&page=journalapp&view=detail"
"0001-5415","Acta Chirurgiae Orthopaedicae et Traumatologiae Cechoslovaca","ACTA CHIR ORTHOP TR","SCIE",0.645,0.68,36,21,0.6,"4区","医学","骨科","否","否","Bimonthly","65",0,"CZECH REPUBLIC","No","容易","",5683,"https://www.letpub.com.cn/index.php?journalid=78&page=journalapp&view=detail"
"0001-5458","ACTA CHIRURGICA BELGICA","ACTA CHIR BELG","SCIE",0.42,0.498,2.9,33,0.46,"4区","医学","外科","否","否","Bimonthly","71",1946,"BELGIUM","No","容易","较慢,6-12周",6067,"https://www.letpub.com.cn/index.php?journalid=79&page=journalapp&view=detail"
"1233-2356","ACTA CHROMATOGRAPHICA","ACTA CHROMATOGR","SCIE",0.773,0.66,4.4,24,0.52,"4区","化学","分析化学","否","否","Quarterly","44",1992,"POLAND","No","容易","约3.0个月",10448,"https://www.letpub.com.cn/index.php?journalid=80&page=journalapp&view=detail"
"0102-8650","Acta Cirurgica Brasileira","ACTA CIR BRAS","SCIE",0.933,0.885,12.8,24,0.94,"4区","医学","外科","否","否","Bimonthly","115",1986,"BRAZIL","Yes","容易","一般,3-8周",7701,"https://www.letpub.com.cn/index.php?journalid=81&page=journalapp&view=detail"
"0001-5512","ACTA CLINICA BELGICA","ACTA CLIN BELG","无",0,0,NA,32,0.75,"未录","","","否","否","Bimonthly","52",0,"BELGIUM","No","容易","较慢,6-12周",4393,"https://www.letpub.com.cn/index.php?journalid=82&page=journalapp&view=detail"
"0353-9466","Acta Clinica Croatica","ACTA CLIN CROAT","SCIE",0.366,0.452,24,17,0.45,"4区","医学","医学：内科","否","否","Quarterly","72",1991,"CROATIA","No","容易","较慢,6-12周",4999,"https://www.letpub.com.cn/index.php?journalid=83&page=journalapp&view=detail"
"0108-7673","ACTA CRYSTALLOGRAPHICA SECTION A","ACTA CRYSTALLOGR A","无",0,0,NA,NA,NA,"未录","","",NA,NA,"Bimonthly","60",1983,"DENMARK","No","约62.5%","平均2月",13349,"https://www.letpub.com.cn/index.php?journalid=84&page=journalapp&view=detail"
"0108-7681","ACTA CRYSTALLOGRAPHICA SECTION B-STRUCTURAL SCIENCE","ACTA CRYSTALLOGR B","无",0,0,NA,NA,NA,"未录","","",NA,NA,"Bimonthly","107",1983,"DENMARK","No","较易","较慢,6-12周",10127,"https://www.letpub.com.cn/index.php?journalid=85&page=journalapp&view=detail"
"0108-2701","ACTA CRYSTALLOGRAPHICA SECTION C-CRYSTAL STRUCTURE COMMUNICATIONS","ACTA CRYSTALLOGR C","无",0,0,NA,NA,NA,"未录","","",NA,NA,"Monthly","233",1983,"DENMARK","No","容易","一般,3-6周",15623,"https://www.letpub.com.cn/index.php?journalid=86&page=journalapp&view=detail"
"0907-4449","ACTA CRYSTALLOGRAPHICA SECTION D-BIOLOGICAL CRYSTALLOGRAPHY","ACTA CRYSTALLOGR D","无",0,0,NA,NA,NA,"未录","","",NA,NA,"Monthly","257",1993,"DENMARK","No","约25%","平均3月",9887,"https://www.letpub.com.cn/index.php?journalid=87&page=journalapp&view=detail"
"1600-5368","ACTA CRYSTALLOGRAPHICA SECTION E-STRUCTURE REPORTS ONLINE","ACTA CRYSTALLOGR E","无",0,0,NA,NA,NA,"未录","","",NA,NA,"Monthly","4433",2001,"DENMARK","No","约95%","约1.0个月",21209,"https://www.letpub.com.cn/index.php?journalid=88&page=journalapp&view=detail"
"1744-3091","Acta Crystallographica Section F-Structural Biology and Crystallization Communications","ACTA CRYSTALLOGR F","无",0,0,NA,NA,NA,"未录","","",NA,NA,"Monthly","339",2005,"DENMARK","No","容易","较快,2-4周",9988,"https://www.letpub.com.cn/index.php?journalid=89&page=journalapp&view=detail"
